#lambda/nm	DC	C1
711.028	540.4	535
711.435	537.6	540
711.842	539.8	544.6
712.249	536.2	536.6
712.656	531.2	536
713.064	545.6	555.4
713.492	533.4	539
713.9	545.8	540.6
714.307	546.2	547.8
714.715	540.2	543.6
715.123	549	546.2
715.53	542.8	539.8
715.938	553.2	546.6
716.367	543.4	546
716.775	539.4	536.8
717.184	530.2	533.2
717.592	540.6	544.4
718	549.6	555.4
718.408	563.8	573
718.816	572.2	572.8
719.225	543.6	544.8
719.633	536.6	541.4
720.042	531.2	537.8
720.472	532	535
720.881	562.4	565
721.29	547.6	542.6
721.699	533	535.6
722.108	546	543
722.517	542.8	546.6
722.926	533.8	541
723.335	546.4	546
723.744	535.4	535.4
724.154	540	540.2
724.563	540.6	544.4
724.973	548.6	550.8
725.382	548.8	541.8
725.792	540	541.6
726.202	531.6	539.6
726.612	561.2	554.2
727.022	538.6	542.8
727.432	534.4	536.6
779.813	535	536
780.223	578.6	585
780.634	535	533.6
781.044	537	531.8
781.454	536	536.4
781.865	557	544.8
782.276	533.8	535.6
782.686	546.8	539.2
783.097	541.6	528.2
783.508	541.4	529.4
783.919	543.2	528.8
784.33	539.8	538.4
784.741	560.4	545.2
785.152	535.6	528.2
785.563	530.4	520.8
785.974	536.8	522
786.386	547	533.6
786.776	541	526.4
787.188	531.6	533.8
787.599	531.6	525.8
788.011	552.8	541.6
788.423	545.2	538.8
788.835	539.8	529.4
789.247	531.6	524
789.659	541.6	531.6
790.071	526.8	535.2
790.483	582.8	575
790.874	529.2	531.4
791.286	540.8	554.2
791.699	535	530.6
792.111	541.6	545
792.524	535.8	548.2
792.937	539	531.8
793.349	526.2	531.2
793.741	540.8	535.4
794.154	541.4	531.4
794.567	551.6	556.2
794.98	540.8	541.4
795.393	527	528.4
795.785	553.4	551.2
796.198	529	547
796.612	540	543.4
797.026	536	538.6
797.439	520.2	514.2
797.831	532.2	528
798.245	527.8	531.6
798.659	541.4	534
799.073	530.6	531.2
799.487	532.8	533.2
799.88	536.8	530.4
800.294	536.8	534.6
800.708	538.2	545.8
801.123	532.2	540.8
801.516	568	553.2
801.93	527.2	528
802.345	528.8	526.4
802.76	537.4	531.2
803.153	550	553.6
803.568	549.8	551.8
803.983	543.6	538
804.377	533.4	540.2
804.792	534.6	521.6
805.207	520	526.6
805.601	535.2	530.4
806.016	564	574
806.432	535.4	537
806.826	566.4	562.6
807.242	546.6	552.6
807.658	547.8	536.8
808.052	532.2	536.4
808.468	528.6	533
808.884	530.4	533.8
809.279	535	539
809.695	544.6	547.4
810.111	552.2	560.6
810.506	536.6	544.8
810.922	558.6	551.8
811.339	532.8	532.8
811.734	538	545.4
812.151	534.6	537
812.546	531.4	535.6
812.963	529.4	533.2
813.38	539.2	543.2
813.776	535.8	541
814.193	553.4	555.8
814.589	533.2	540.2
815.006	532.4	532.8
815.402	531.6	524.8
815.82	531	535.2
816.237	536.6	536.4
816.633	535.4	544.6
817.051	521.2	531.4
817.448	538.8	542
817.866	528	537.6
818.262	548.6	558
818.68	530.8	522.2
819.077	533.8	527.8
819.495	529.6	536.4
819.892	574.2	582.4
820.311	527.6	532.2
820.708	536.6	539
821.127	533.4	538.4
821.524	549.6	544.6
821.943	549.2	540.2
822.34	554.2	556.8
822.759	538.4	541.6
823.157	541.6	537.4
823.576	552.2	548.8
823.974	536.8	550.2
824.393	621.8	614.8
824.791	533	538
825.189	537.4	533.2
825.609	536.8	534
826.007	542.2	540.8
826.427	527.6	526.6
826.826	539	535.8
827.246	542	538.4
827.644	518.6	525.4
828.043	551.4	539.6
828.463	537.6	539
828.862	539.4	543.4
829.261	540.4	533.8
829.682	522	524
830.081	545.2	538.8
830.502	533	533.8
830.901	538.8	542.4
831.301	553.4	553
831.722	525.6	536.4
832.121	536.2	534.6
832.521	531.4	528.4
832.943	535.8	534
833.342	541.4	540.2
833.742	537.4	528
834.164	528.6	527.2
834.564	521.8	517.4
834.965	539	534.4
835.386	533.2	527.6
835.787	537.4	535.8
836.188	536.2	530.4
836.588	542.2	536
837.01	532	528.2
837.411	530	533.4
837.812	536.8	540.8
838.213	547.4	527.6
838.636	536	539.6
839.037	601	598.2
839.438	543	531.8
839.84	544.6	541.2
840.263	542.2	542.8
840.664	537.4	530.6
841.066	534.4	532.2
841.468	536.2	541.8
841.891	534.4	532.2
842.293	544	532.8
842.695	537.4	538.8
843.098	540.6	551.2
843.5	533.8	542
843.902	537.6	538.8
844.326	538.4	536
844.729	537	534.6
845.131	540.2	541.4
845.534	537	535.2
845.937	541.4	544.2
846.34	561	547.6
846.764	521.2	529.4
847.167	538	535.2
847.571	525.6	524.2
847.974	536.2	525.8
848.377	531.2	533.4
848.781	574.2	577
849.184	549.8	541.8
849.588	533.8	538.4
849.992	528.2	525.2
850.396	534.4	537.4
850.821	555.4	556.2
851.225	535.6	540.2
851.63	535	526.2
852.034	550.2	547.6
852.438	542.6	529.2
852.843	556.6	564.2
853.247	529.4	529.8
853.652	535	532.8
854.057	550	553.2
854.462	545.6	539.4
854.867	534.2	535.2
855.272	570	563.6
855.677	539.6	538.8
856.082	532.2	533.6
856.487	531	532.4
856.893	537.6	539.6
857.298	528.6	538
857.704	531.8	529.4
858.11	540.2	534.8
858.516	548.6	536.2
858.922	534.6	539.4
859.328	539.8	549.6
859.734	523.4	531.4
860.14	536.8	543.4
860.525	539.4	539.4
860.931	532.4	523.8
861.338	539.2	528.4
861.745	528.6	542.6
862.151	537	535.8
862.558	538.6	534.4
862.965	531.8	536.8
863.372	531.8	527.2
863.779	521.2	530.8
864.186	544.4	554.2
864.572	527.6	539
864.98	541.6	554.6
865.387	559.6	564.8
865.795	522	524.8
866.203	538.2	546.4
866.61	526	524.8
867.018	542.6	539.6
867.405	538.2	535.4
867.813	532.2	541.4
868.221	531.6	533.8
868.63	525.6	539.6
869.038	538	542.8
869.425	567.2	567.8
869.834	538.4	535
870.243	523.2	523.2
870.652	526	525.8
871.039	527.6	526
871.448	532.6	538
871.857	538.6	539.6
872.266	536.4	538.2
872.654	534.6	531
873.064	525.2	530.2
873.473	548	546
873.883	533.2	525.6
874.271	530.6	525.2
874.681	543.8	541.2
875.091	528.4	523.4
875.48	537.4	539.6
875.89	549	540
876.3	533.4	530.4
876.689	524	522.8
877.1	537.8	530.6
877.51	537.6	530.2
877.9	556.4	548.6
878.31	532.2	525.4
878.721	559.2	554.6
879.111	535	527.8
879.522	530.8	531.4
879.933	520.6	522.2
880.323	521.2	519.2
880.734	530.8	519
881.125	538.8	526
881.536	535.4	531.8
881.948	532.6	518
882.338	526.2	515
882.75	542.4	532
883.141	529.2	526.6
883.553	532.6	534.8
883.944	552	557.4
884.356	533.8	537.4
884.769	529.2	527.2
885.16	537.4	531
885.573	534.6	532
885.964	535	533
886.377	538.6	534
886.768	527.8	514.8
887.181	533.2	525.6
887.573	535.6	522.8
887.987	544	536.8
888.378	545	546.4
888.792	541.6	539
889.184	571.2	579.2
889.598	518.8	532.8
889.99	535.4	533
890.383	530.8	534
890.797	530.6	519.8
891.19	535.6	549.8
891.604	535.4	532.6
891.997	531.2	520.8
892.411	518.6	525
892.805	533.4	526.2
893.198	530	531.2
893.613	517.4	520.8
894.006	534	535.8
894.421	529	528.6
894.815	531	527.6
895.209	531	525.2
895.624	577.2	573
896.018	539	554.4
896.412	527.2	533.2
896.828	528.6	531.6
897.222	538.8	540
897.617	527.6	522.6
898.033	548	545.8
898.427	527.2	538.4
898.822	525.4	530.6
899.239	522.2	524.6
899.634	518.6	522.6
900.029	542.8	543.8
900.424	524.8	524.4
900.841	525.8	527.4
901.236	538.8	540.8
901.632	535.6	551.6
902.027	592.2	583
902.445	531.8	540.4
902.841	525.2	529.4
903.237	529.8	529.8
903.633	540.2	542.6
904.05	536	540.2
904.447	532	538.4
904.843	532.4	543.2
905.24	531	526.2
905.636	519.4	523.2
906.033	529	529.2
906.451	541.2	538.8
906.848	523.6	524
907.246	529.8	526.8
907.643	528	537.2
908.04	532.8	538
908.438	543.8	542.6
908.835	537.4	538.8
909.254	536	537.4
909.652	527.6	535
910.05	527.2	528.4
910.448	530.8	521.8
910.846	527	541.6
911.244	517.8	529.4
911.643	531	534.4
912.041	530.6	529.4
912.44	542.2	550.6
912.839	523.2	531.8
913.237	522	522
913.636	522.8	528.6
914.035	526.4	534.6
914.434	531.2	535.2
914.834	543.6	547.6
915.233	542.8	541.6
915.633	528	529.4
916.032	526.2	522.4
916.432	522.8	531.2
916.832	540	546.4
917.232	521.4	529.6
917.632	519	528.2
918.032	536.2	538.4
918.432	530.4	536.4
918.833	526.4	531.4
919.233	532.4	530.2
919.634	521.6	521
920.035	537.6	533.2
920.436	524.6	521.8
920.837	543.8	540.4
921.238	529	527.6
921.639	530.2	530.8
922.019	537.4	532
922.42	533.2	543.2
922.822	531.2	539.4
923.224	531	539
923.625	526.6	529.4
924.027	537.2	531.4
924.429	544.8	547.2
924.81	535.2	528.8
925.212	537	537.4
925.615	531.2	538.2
926.017	535.6	531.4
926.42	543	545.2
926.801	526.2	532
927.204	533	535
927.607	532.8	541.8
928.01	541.6	539.4
928.413	532.6	540.2
928.795	522.6	513.2
929.199	529.6	526.8
929.602	536.4	521.8
930.006	524.8	523.6
930.388	516	509.2
930.792	536.4	532.6
931.196	534.6	527.2
931.579	559.2	564.8
931.983	530.2	522.4
932.388	572.4	573.4
932.771	527	527.8
933.176	525.8	525.8
933.58	536.8	525
933.964	547.8	535.6
934.369	529.4	518.2
934.774	538.2	531.6
935.158	527.8	535.2
935.563	533.6	531.2
935.947	533.4	537
936.353	531	532.8
936.759	525.2	529.4
937.143	537.6	534.2
937.549	532.6	528.2
937.934	545	535.8
938.34	551.2	547
938.746	527	514
939.131	522.8	528.4
939.538	527.4	523.2
939.923	531	529.2
940.33	522.6	525.4
940.716	533.4	529.4
941.123	535.4	532.6
941.508	538.2	537.4
941.916	543.4	538.4
942.302	534.8	536.8
942.709	522.2	514.4
943.096	531.4	522
943.503	539.2	536.4
943.89	529.4	532.8
944.298	528	527.8
944.685	554	560.2
945.072	527.4	535
945.48	539.6	539.6
945.867	524	525.4
946.276	521.4	525
946.663	554.4	545.6
947.051	546.8	545.6
947.46	545	549.8
947.848	538.6	535.8
948.257	528.8	530.6
948.645	534.2	527
949.033	533.4	533.6
949.443	522.2	526.2
949.831	557.8	573.4
950.22	518.2	523
950.63	530.4	535.2
951.018	562.8	548.6
951.407	531.8	529.4
951.796	529	533
952.207	536	535.6
952.596	531.8	539.8
952.985	514	527.8
953.375	574.2	566.4
953.786	530.6	523.2
954.176	525.4	521.4
954.566	534.2	538
954.956	518.2	520.4
955.367	523.6	529.2
955.758	543.6	550
956.148	527.8	528.6
956.539	539.8	539.6
956.929	517.8	518.8
957.341	523	519.8
957.732	526.6	528.6
958.123	543.4	538.8
958.515	513	524.2
958.906	533.6	531.8
959.297	524.8	527
959.689	530.2	526.8
960.102	520.4	519.8
960.494	530.8	527.8
960.886	529.6	523.2
961.278	526.8	523.2
961.67	558	547.2
962.062	564.6	568.8
962.455	524.8	522.8
962.847	519.6	524.4
963.24	522.2	527
963.633	524.8	536.6
964.026	518.2	522.2
964.419	530.8	535.8
964.812	534	535.4
965.206	525.6	531.6
965.599	536.4	530.6
965.993	523.4	525.8
966.386	519	528
966.78	543.8	541.6
967.174	544.2	534.6
967.569	535.4	530.4
967.963	526.6	522.4
968.357	527.4	514.6
968.752	528.6	523.8
969.146	530.8	522.8
969.541	512.2	516.6
969.936	524.8	527.6
970.331	535.4	520.8
970.705	529.4	524.2
971.1	528.4	520
971.496	537	524.2
971.892	520.4	516.8
972.287	528.8	524
972.683	525	523.4
973.079	524.4	521.8
973.454	538.6	541
973.85	534.4	516.6
974.247	540.8	524
974.643	544.6	554.2
975.04	537.2	522
975.415	528.6	528.6
975.812	520.2	511.2
976.209	533.6	523
976.607	524.4	523.8
976.982	531.4	534.6
977.38	546.2	543.4
977.778	527.6	529
978.175	531.6	514.8
978.552	526.6	520.4
978.95	540	529
979.348	539.6	533
979.725	576	570.2
980.123	524.8	533.6
980.522	527.4	526
980.899	529	528.2
981.298	530.4	521.2
981.697	536.4	521.4
982.075	523.8	523.4
982.474	522.6	524.4
982.852	529.8	535.2
983.251	537.4	530.6
983.651	527.6	521.6
984.029	529.8	534.8
984.429	530.8	526.8
984.808	518.8	510.4
985.208	525.8	530.4
985.609	526.2	524.6
985.987	522	515.8
986.388	524.2	520.8
986.768	532.6	533.6
987.168	512.8	522.8
987.548	535.6	529.2
987.949	533.6	547.8
988.329	528.6	531
988.731	514.8	515.6
989.111	524.8	525.8
989.491	516.6	528.4
989.893	533	533.4
990.273	535.4	544.6
990.676	515.8	527.4
991.057	512	520.4
991.459	518.2	524.6
991.84	522.8	530.2
992.221	513.2	520.4
992.624	542.4	535.4
993.006	527.2	532.4
993.388	526.4	534.2
993.791	534.8	534.4
994.173	532.8	538.2
994.576	551	557.4
994.959	518.2	522.2
995.341	526.4	527.4
995.724	527	541
996.128	524	528.2
996.511	527.2	535.2
996.894	523.2	530.8
997.298	525.4	524
997.681	530.6	533
998.065	521.6	526.8
998.448	519.6	523.4
998.854	532.6	536
999.237	518.6	525.6
999.621	536.2	544.2
1000.01	542.2	537.4
1000.39	526.2	531.6
1000.8	528	516
1001.18	526.4	534.4
1001.56	532.2	539.2
1001.95	535	536.2
1002.33	527.2	537
1002.72	518	531.6
1003.13	523.6	524.6
1003.51	526.6	534.8
1003.9	518.6	520.6
1004.28	540.4	543
1004.67	517.4	526
1005.06	530.2	524.8
1005.44	553.6	555.6
1005.83	522.2	509.2
1006.21	523	525
1006.6	521.4	527.4
1006.99	535.6	537.6
1007.37	529.8	540.4
1007.76	534	527.4
1060.12	528.2	518.4
1060.51	522.8	520.6
1060.89	528	535
1061.28	530.8	533.6
1061.67	534.8	536.2
1062.06	532.2	521.2
1062.45	528	525.8
1062.83	538.6	527.2
1063.22	542	542.2
1063.61	554.4	574.4
1064	540.4	532.6
1064.39	518.8	523.8
1064.78	527.6	524.2
1065.14	540	532.8
1065.53	527.6	520.6
1065.92	528.4	527
1066.31	523.4	519.2
1066.7	536	523.8
1067.09	544	531.6
1067.46	539.8	534.4
1067.85	536.8	529
1068.24	525.8	528.4
1068.63	539.6	535.4
1069.02	516.2	526.2
1069.39	528.4	526.6
1069.78	530.4	525.8
1070.17	527.2	525
1070.57	515.2	519.8
1070.93	530	527.2
1071.33	524.8	527.2
1071.72	531.6	526.2
1072.11	529.6	518.2
1072.48	529	514.8
1072.87	526.4	530
1073.26	528.4	535.2
1073.64	526.8	517.4
1074.03	512.6	520.4
1074.4	521	519.6
1074.79	535.4	533.4
1075.19	523.2	530.2
1075.56	529.8	536.6
1075.95	526.6	526.2
1076.34	524.8	528
1076.72	528.6	528.8
1077.11	529.8	526.2
1077.48	537.2	534.8
1077.88	525.2	518.6
1078.25	526.6	527.2
1078.64	534.4	528.6
1079.02	538.2	532.6
1079.41	531.6	540.8
1079.78	536.4	522.8
1080.18	522.8	517.2
1080.55	578.6	573.8
1080.95	522.6	518.8
1081.32	523.4	513.4
1081.72	534.6	523.2
1082.09	528.6	530
1082.49	527	514.4
1082.86	523	525.6
1083.24	516.4	520.2
1083.63	520.6	517.8
1084.01	528.6	522.4
1084.38	534	524.8
1084.78	520.2	523.4
1085.16	523.2	529.4
1085.55	536.8	533.2
1085.93	543.4	543.8
1086.31	526.8	514.4
1086.7	557	552.8
1087.08	526	528.6
1087.46	525.2	520.6
1087.83	517.4	524.2
1088.23	530.8	539
1088.61	526.8	526.8
1088.99	528.4	526.8
1089.36	516.4	523.6
1089.76	520.6	529
1090.14	522	523.8
1090.52	518.8	525.8
1090.9	514.2	524.8
1091.27	535.8	544
1091.67	550.4	555.6
1092.05	532.2	522.4
1092.43	521	526
1092.81	531.6	533
1093.19	541.4	521
1093.57	527.2	523.2
1093.95	523.8	526.8
1094.35	536.6	534.6
1094.73	538.8	538.6
1095.11	520.2	525.4
1095.49	529.8	526.2
1095.87	525.4	527.6
1096.25	529.4	538.2
1096.63	524.4	536.6
1097.01	517.4	527.8
1097.39	537.2	528.8
1097.77	523.6	523.8
1098.15	524.6	527.6
1098.53	514.4	517
1098.91	518.8	526.6
1099.29	531.6	523
1099.68	541.4	531.8
1100.06	534.4	528.4
1100.44	518.8	529.8
1100.82	525.4	525.8
1101.18	525.4	532.6
1101.56	525	529.4
1101.95	518.4	521
1102.33	524.8	530.2
1102.71	524.8	533
1103.1	510	521
1103.48	511.8	510.4
1103.86	510.2	520.6
1104.22	529.6	525.6
1104.61	527.6	522.4
1104.99	520.8	526.6
1105.38	517	513.8
1105.76	521.6	533.8
1106.12	526	528.6
1106.51	555.8	557.2
1106.89	525.2	529.2
1107.26	524.6	527.8
1107.64	532.8	527.6
1108.03	521.6	513.4
1108.41	529.4	523.8
1108.78	522	529.2
1109.16	522.8	520.6
1109.55	536	535.4
1109.91	515	516.6
1110.3	510.4	512.6
1110.69	539.8	534.6
1111.05	524.8	517.2
1111.44	527.6	526
1111.8	524.2	527
1112.19	523.6	530.4
1112.58	527	529.4
1112.94	528.8	524.4
1113.33	527	516.6
1113.7	521.6	514
1114.09	519.2	508.2
1114.45	519.2	512.4
1114.84	521	518.8
1115.21	536	516.2
1115.6	524.2	514.2
1115.96	533.4	526.2
1116.35	534.2	525.6
1116.72	517	514.8
1117.11	534.2	532.4
1117.48	521.2	518.4
1117.85	518.2	515.6
1118.24	537	545.8
1118.6	524.8	518.2
1118.99	522.6	524
1119.36	530.2	524
1119.73	528	526.2
1120.12	527.6	530.4
1120.49	515.2	520
1120.86	538.6	522.8
1121.25	521.4	526.4
1121.62	515.2	509.2
1121.99	521.6	524.2
1122.38	533	539
1122.76	525.6	522.4
1123.13	527	523.4
1123.5	532.6	527.4
1123.89	534.4	539.2
1124.26	513	507.2
1124.63	516	520.6
1125	527.2	524.4
1125.4	517.4	515.2
1125.77	513.2	514.4
1126.14	508.4	508.2
1126.51	523.6	524.4
1126.88	528	526.6
1127.26	525.4	518.4
1127.63	512.2	512
1128.02	526.4	519.2
1128.4	518	523.4
1128.77	523.2	516.6
1129.14	527.2	522.2
1129.52	521.6	522
1129.89	529.2	525.8
1130.26	518.4	527
1130.64	521.4	520.8
1131.01	522.8	524
