#lambda/nm	DC	C1
318.585	565.2	566.8
318.979	582.4	578.6
319.372	563	571.8
319.766	565.4	574
320.16	579	577.4
320.553	595.4	594.2
320.947	585.8	596
321.341	566.8	568.2
321.735	573.2	570.6
322.129	560.6	563.6
322.523	581.8	599.6
322.917	560	563.2
323.311	581.4	588.6
323.705	573	574.4
324.099	574.4	570.2
324.494	590.8	588.6
324.888	579	585.4
325.282	568	565.2
325.677	579.2	582
326.071	578.6	584.8
326.466	580.8	577.6
326.861	568.4	570.4
327.255	577.4	582.4
327.65	590.6	580.2
328.045	591.8	586
328.44	571.8	579.2
328.835	573.6	577.8
329.23	562.8	570
329.625	596.6	588
330.02	567.8	573.4
330.415	595.8	589.4
330.81	570.8	581.6
331.206	569.2	573
331.601	567.4	569.2
331.996	579.6	579.4
332.37	592.8	593.2
332.766	561.4	557.8
333.161	596.6	601.4
333.557	569	571.2
333.953	566.8	578
334.348	920.4	862.6
334.744	577.8	578
335.14	568.2	561.4
335.536	568.8	568
335.932	583.2	589.2
336.328	578.4	580.8
336.724	579.8	573.2
337.12	570.4	580.2
337.516	569.4	585.2
337.913	575	570.4
338.309	581.6	580.2
338.705	571.4	574.8
339.102	583	591.4
339.498	570	567.4
339.895	584.4	576.8
340.291	564.4	569.2
340.688	586.2	570.4
341.085	556.6	564
341.481	565	562.6
341.878	584	576.4
342.275	593	596.6
342.672	573.4	567.6
343.069	560.2	560
343.466	557.4	555
343.842	580.4	580.6
344.239	571	555.4
344.636	577.6	568.2
345.033	566.8	569.6
345.431	557	558.6
345.828	569.4	569.4
346.225	556.8	559.8
346.623	577.8	573.8
347.02	570.8	564.8
347.418	577.8	569.2
347.816	584.4	577.4
348.213	566.8	555.6
348.611	572.4	562.2
349.009	560	556.2
349.407	588.8	578.6
349.805	563.4	547.4
350.203	553.4	551
350.601	582.6	581.4
350.999	562	560.8
351.397	611.2	603.4
351.795	568.6	563.2
352.193	575	579.4
352.57	573.8	570.6
352.969	578.8	577.6
353.367	567.8	557.4
353.766	562.2	557.6
354.164	568.2	569
354.563	574	566.8
354.961	575	565.2
355.36	575.8	565.8
355.759	569.4	568.8
356.158	560.2	552.4
356.557	564.2	564.2
356.956	565.8	564.4
357.355	556.4	551.8
357.754	573	573
358.153	575.8	566.6
358.552	590.6	590.6
358.951	560.4	574.8
359.35	568.6	586
359.75	565.2	562.2
360.149	564.6	558.2
360.527	557.4	558
360.926	552	558.8
361.326	572.2	565.8
361.726	565.4	564.8
362.125	562.8	564.8
362.525	577.8	580.2
362.925	564	569.2
363.325	566	572.6
363.724	568.6	565.6
364.124	556	566.4
364.524	559.4	561.2
364.924	560.2	556.4
365.324	574.2	580
365.725	552.6	551.6
366.125	566.4	567.2
366.525	562.6	565
366.904	554.4	563.2
367.304	543.6	551
367.705	576.2	580.4
368.105	576.8	579
368.506	559	565.8
368.906	568	562
369.307	561.4	563.4
369.708	568.6	562
370.108	549	548.6
370.509	569.6	570.6
370.91	555.6	556.8
371.311	556.4	560.4
371.712	564.6	561.8
372.113	559.2	555.2
372.514	546.6	558.4
372.894	557.8	565.2
373.295	553.4	562.4
373.696	574.4	569.4
374.097	569	577
374.499	589.8	593
374.9	561.8	576.4
375.301	551.8	561
375.703	569	570.2
376.105	553.8	560.6
376.506	557	569.8
376.908	564.8	572.8
377.309	566.4	566
377.711	559.2	565.4
378.113	561.2	557.6
378.493	556.4	563.6
378.895	565	561.4
379.297	569	570.4
379.699	549	547.2
380.102	567.8	569.4
380.504	565.2	563
380.906	555.4	561.8
381.308	587.6	594.6
381.71	563.8	563.8
382.113	566.4	573.8
382.515	550.2	562.2
382.918	559.8	566.2
383.299	559.4	554.8
383.701	564.8	566.4
384.104	557	567.6
384.507	541.8	545
384.909	558.6	566.4
385.312	546.2	551.8
385.715	563.4	559.8
386.118	565.8	565.4
386.521	553	559
386.924	568.8	576.4
387.327	559.6	558.2
387.709	551.8	557.6
388.112	550.8	545.8
388.515	562.8	555
388.918	561.2	561.4
389.322	567.4	573.8
389.725	557.8	566.2
390.129	571.8	586.6
390.532	571.4	576
390.936	557.6	554.6
391.339	553	554.6
391.743	561.2	569
392.125	552	565.8
392.529	582	568
392.933	569.6	577.2
393.337	574	565
393.74	566.2	567
394.144	558.8	571
394.548	555	565.2
394.953	561.4	564
395.357	568.6	575
395.761	552.4	565
396.144	561.2	561.8
396.548	554.8	564.6
396.952	563.2	569.8
397.357	563.2	565.8
397.761	563.4	560.8
398.166	559.6	563.8
398.57	555.8	554
398.975	562.2	554.8
399.379	554.4	569.2
399.763	616.2	600.6
400.168	563.4	567.4
400.572	556.2	570.4
400.977	552.2	563.8
401.382	584.2	574.6
401.787	577.4	576.4
402.192	576	577.2
402.597	574.8	573.8
403.002	552	550.6
403.386	569.4	580.4
403.791	570.8	573.2
404.197	556.6	550.4
404.602	564	564
405.007	550.2	555.2
405.413	562.8	561.2
405.818	561	562
406.224	551.2	555.8
406.608	560.6	566.2
407.014	551.2	559
407.42	586	577.4
407.825	563.4	556.8
408.231	574.4	561.4
408.637	566.6	557.6
409.043	580	572.6
409.449	559.4	556.2
409.834	560.6	563.2
410.24	563.8	571.6
410.646	567.8	569.8
411.052	574.4	572.8
411.458	563	567
411.865	569.6	577.6
412.271	576.6	572.8
412.677	569	565
413.062	576.6	569.8
413.469	557.4	566.4
413.875	586.4	586.2
414.282	575	572.6
414.689	569	572
415.095	571.6	566.2
415.502	566.4	563
415.888	572.4	567
416.294	547	553.2
416.701	596.2	595.8
417.108	563.2	564.6
417.515	581.4	567.2
417.923	571.2	560.8
418.33	576.4	585.8
418.715	572.4	573.2
419.123	557.6	567.8
419.53	560.8	566.4
419.937	559.4	567.8
420.345	569.8	578.6
420.752	566.4	560.6
421.16	575.2	577.6
421.546	570	561
421.953	575.6	566.2
422.361	557.6	559.2
422.769	557.6	560
423.177	560.6	555.4
423.585	587	587.6
423.992	585.8	589.4
424.379	577.4	573.8
424.787	577.4	571
425.195	580.4	589.4
425.603	568.8	569.6
426.011	577.2	582.8
426.419	572.8	576.8
426.806	570.2	565.2
427.214	565.8	570.2
427.623	577.8	580
428.031	579.2	587.2
428.44	564.8	574.2
428.848	581.2	589.6
429.235	575.8	588
429.644	577.4	573.8
430.053	564.8	580.2
430.461	585.8	600.6
430.87	589.8	616.4
431.279	586.4	604.2
431.666	567.2	591
432.075	569	604.6
432.484	576.8	616.6
432.893	567.8	611.8
433.302	582.2	640.8
433.711	600.2	660.4
434.099	571.8	639.2
434.508	570.4	640.2
434.918	559.4	641.2
435.327	579	658.8
435.737	568.2	669.8
436.125	570.6	668.2
436.534	567.4	674.8
436.944	572.2	694.6
437.353	568.6	698
437.763	589.2	716.8
438.173	563	705.8
438.561	581.8	727.2
438.971	556.4	709.8
439.381	572.8	722.8
439.791	561.2	737.6
440.201	548	723.8
440.589	566.8	758.4
440.999	581.2	769.6
441.409	575.8	767.8
441.819	555	753.6
442.23	578.8	784
442.619	572.4	789.6
443.029	566	786.2
443.439	573	793.2
443.85	573.8	809.4
444.26	582	810.4
444.649	576.6	811.2
445.06	574.4	806.2
445.471	568.6	795.8
445.881	572	804
446.292	585.2	823
446.682	589.4	832
447.092	560.2	809.2
447.503	614.6	864.6
447.914	578	835.6
448.325	574.4	836
448.715	579	833.8
449.126	560.6	832.6
449.537	576.4	830.8
449.948	579.8	843.2
450.338	572.2	841.6
450.75	583.8	843
451.161	580.8	843.4
451.572	579.2	857.2
451.984	574.6	861.6
452.374	555.6	833.8
452.786	571.8	840.4
453.197	582.8	857.6
453.609	574.6	858.6
453.999	565.4	852.8
454.411	557.8	849.6
454.823	580.6	872.6
455.235	574.2	858.4
455.647	566.8	852
456.037	575.6	867.6
456.449	548.8	848
456.862	570.2	855.2
457.274	571	867.8
457.665	558.6	858
458.077	566.4	868.6
458.489	592.2	897
458.902	563.8	858.2
459.293	565.4	870
459.705	569	856.4
460.118	562.4	858.2
460.53	569.6	865.8
460.921	568.4	875
461.334	573.8	868.4
461.747	564	863.8
462.16	585.2	878.6
462.551	576.4	875.8
462.964	562	881
463.377	548.8	855
463.79	557.2	868.8
464.182	570.8	874.2
464.595	557.4	849.4
465.008	565	859.8
465.421	568.2	870
465.813	559	875.6
466.226	560.8	872.8
466.64	559.8	855.8
467.053	598.4	907.6
467.445	573	876.4
467.859	579.4	888.6
468.272	559.2	880.2
468.686	573	895.2
469.078	566	866.2
469.492	545.6	866.8
469.906	559.8	875.8
470.298	566	875.8
470.712	553	869.8
471.126	603	905
471.54	545.4	852.2
471.933	550.2	852
472.347	555.6	864.6
472.761	553.8	865
473.175	544.4	856.6
473.568	558.2	866.4
473.982	544.8	855
474.397	548.6	850.8
474.79	559.2	858.8
475.204	564.4	848.4
475.619	557.2	861
476.033	555	854.4
476.426	553.6	837.4
476.841	552.6	837.2
477.256	585.8	861
477.649	553.2	840
478.064	551.6	829.8
478.479	556.4	835.6
478.872	562.2	835.4
479.287	543.4	822.4
479.702	552.6	835.2
480.118	564.2	836.4
480.511	561.2	835
480.927	563	851.2
481.342	549	830.6
481.736	562.2	836.4
482.151	548.8	824.2
482.566	572.2	841.8
482.96	560.4	833.6
483.376	562.4	835.8
483.792	550.4	829.2
484.186	558.2	832
484.602	558	813.4
485.017	550	831.4
485.412	555	819.2
485.827	557.6	835
486.243	562.8	818.2
486.638	580.2	838
487.054	564.8	815.4
487.47	571.4	820.6
487.865	552.6	805.6
488.281	552.4	814
488.697	553.4	809.8
489.092	555.2	811.2
489.508	551.4	800.2
489.925	561.2	801.8
490.32	552.2	796.4
490.736	564.2	811.8
491.153	554.2	803.8
491.548	566.2	794.4
491.964	574.4	807.2
492.381	544	782.4
492.776	560.6	795.4
493.193	558.4	796.8
493.61	557.6	792
494.006	564.4	789.8
494.422	564.8	787.8
494.84	556.4	768.8
495.235	563	788
495.652	559.4	773.4
496.069	555	772.2
496.465	545.2	766.8
496.883	557.8	766.2
497.3	586	800.2
497.696	551.6	766.6
498.113	565.6	770.6
498.509	541.4	757.4
498.927	545.6	755.6
499.344	551.8	744.6
499.741	548.6	757.2
500.158	561.6	764.8
500.576	562.4	760.2
500.973	568	755.6
501.39	548	749.8
501.787	550.8	738.2
502.205	555.6	750.8
502.623	548.6	739.8
503.02	550	730.8
503.438	557.8	734.4
503.856	559.6	734.2
504.253	559.2	737.8
504.671	562.8	741.8
505.068	554.8	733.8
505.486	552.2	728.4
505.905	575.6	743.8
506.302	566.6	728
506.72	560.8	739
507.118	553.8	731
507.536	558.2	715.8
507.955	548.6	724.4
508.352	560.2	721.4
508.771	560.2	726
509.169	557.2	724.4
509.587	554.4	714
510.006	563.2	713.8
510.404	550.6	708.4
510.823	554	715
511.221	559.2	715
511.64	550.8	708.2
512.038	568	730.4
512.457	560	707.4
512.877	559	706.4
513.275	552.4	695.2
513.694	558.8	692
514.092	553	708
514.512	563.4	704.2
514.91	577	701.2
515.33	556.6	698.2
515.749	561	695.6
516.148	562.2	701.2
516.568	563.8	699
516.966	550.2	694.2
517.386	558.4	684
517.785	554	684.6
518.205	557.6	681.6
518.603	551.6	676.2
519.024	542.4	677.2
519.444	550.8	677.8
519.843	562.8	693.4
520.263	564.6	691.2
